Frame,Total Faces,Average Accuracy
0,0,0.0
1,8,0.66311194896698
2,12,0.6414756576220194
3,14,0.6809713910607731
4,6,0.6007360716660818
5,0,0.0
6,12,0.7379464904467264
7,16,0.7591877140496907
8,5,0.5644313593705496
9,12,0.7307894080877304
10,13,0.7759782566743738
11,10,0.7626451070492084
12,13,0.7307645458924142
13,12,0.7519737340155102
14,9,0.6714876790841421
15,11,0.6817983706792196
16,12,0.7474616949374859
17,11,0.6420583426952362
18,12,0.7426321974822453
19,12,0.712364689509074
20,14,0.7476073283898202
21,10,0.771975407233605
22,11,0.7364031573136648
23,11,0.7670221237035898
24,15,0.7118527978658676
25,16,0.7743666485736245
26,16,0.7711602534566607
27,16,0.6989842766807193
28,11,0.7390355542302132
29,13,0.7766738302177854
30,12,0.7291258732477824
31,15,0.7308559894561768
32,15,0.7264028097453871
33,13,0.7411095760762691
34,14,0.8129529672510484
35,15,0.7523439794778823
36,14,0.7430451177060604
37,12,0.7428090712603401
38,16,0.7362372610304091
39,13,0.7747141162554423
40,12,0.8008494201828452
41,16,0.7534417907396952
42,14,0.7651989648216649
43,14,0.7305010055240831
44,13,0.7514061369001865
45,13,0.7154570502393386
46,17,0.7525623763600985
47,13,0.7820912934839725
48,14,0.7415630629188136
49,13,0.7409697206396806
50,13,0.7098441421985626
51,14,0.7292272912131416
52,13,0.7419690875446096
53,16,0.7107116674122057
54,15,0.7286801651904458
55,14,0.7298608014458104
56,14,0.7165503833029006
57,14,0.7544305473566055
58,13,0.770907956011155
59,13,0.7427646087275611
60,15,0.7159506272185933
61,16,0.756719015893482
62,14,0.7434569456998039
63,17,0.7451784521341324
64,12,0.7513998711810392
65,8,0.7341591065580194
66,13,0.736937025014092
67,4,0.7513686617215475
68,2,0.6812932789325714
69,5,0.7185690522193908
70,10,0.7108002305030823
71,12,0.6916267367509695
72,14,0.771240621805191
73,10,0.6540864626566569
74,8,0.6596017805012789
75,13,0.7891220768292745
76,14,0.7535370190938314
77,11,0.723143777676991
78,12,0.7414786082047683
79,15,0.7507277503609657
80,6,0.676147094794682
81,14,0.7177060127258301
82,13,0.7592577429918143
83,11,0.665991390744845
84,17,0.7237860936867563
85,13,0.7217036326726277
86,10,0.7239929854869842
87,13,0.6984050273895264
88,14,0.7700300216674805
89,14,0.7042697540351323
90,16,0.7783324928844676
91,14,0.6979783296585083
92,14,0.749007291653577
93,13,0.7551556547482808
94,12,0.7437653822057387
95,16,0.7195694540676317
96,13,0.750349760055542
97,16,0.7423871457576752
98,15,0.7418612586824518
99,15,0.7234950761000315
100,14,0.705214606391059
101,14,0.7166016136898714
102,15,0.7498955242335796
103,14,0.7483043298125267
104,13,0.7554950952529907
105,15,0.7089830070734024
106,15,0.755872533601873
107,16,0.7161658249403301
108,15,0.7651872299611568
109,17,0.7156024261524803
110,15,0.736177945838255
111,15,0.7608829811215401
112,15,0.7282696863015493
113,16,0.7069202164808909
114,15,0.7399998671478696
115,16,0.7396458878236658
116,14,0.7639865204691887
117,15,0.7525869678048527
118,14,0.7413562010316288
119,14,0.7326361219088237
120,15,0.7470751591026783
121,15,0.7332170535536373
122,16,0.7204644580682119
123,14,0.7340307831764221
124,18,0.6974896362849644
125,17,0.6989809462898656
126,17,0.7052286894697892
127,18,0.7149651375683871
128,18,0.7571171145690115
129,16,0.7390833795070648
130,15,0.7230954766273499
131,14,0.755970899015665
132,15,0.7102382528154474
133,15,0.72353595495224
134,16,0.7314078062772751
135,16,0.745404851436615
136,15,0.7321073919534683
137,14,0.7646826170384884
138,18,0.7090793393907093
139,16,0.7488963067531585
140,17,0.7016479514894032
141,16,0.7598627899822435
142,15,0.760293161167818
143,17,0.7378314554691314
144,17,0.7355080664157867
145,15,0.7455063329802619
146,17,0.7313010454177856
147,17,0.7130296558141709
148,15,0.752875594716323
149,15,0.7787090539932251
150,15,0.7392887849556772
151,15,0.7629723913139768
152,16,0.7341430902481079
153,17,0.7033943325281143
154,15,0.7287410663233863
155,17,0.7187478631734848
156,16,0.7558133777450112
157,17,0.7510379685295953
158,15,0.748719647526741
159,15,0.7642601430416107
160,17,0.7024395018815994
161,16,0.725997457378789
162,16,0.7544938657018874
163,15,0.7500273920595646
164,17,0.7392651438713074
165,14,0.7855030536651612
166,14,0.7380479143725501
167,15,0.7312247322665321
168,16,0.7514538930522071
169,18,0.7040493463476499
170,14,0.7841876745223999
171,19,0.6987199295650829
172,15,0.7688697278499603
173,15,0.7428219881322649
174,16,0.7197858346135992
175,15,0.8107186704874039
176,17,0.7440242439508438
177,16,0.7529140545262231
178,17,0.7065456509590149
179,15,0.800558265298605
180,17,0.7493234939045377
181,17,0.7064391828718639
182,16,0.7915965504944324
183,17,0.7199414014816284
184,16,0.7576296988286471
185,16,0.7436889723727578
186,17,0.7774261110707333
187,18,0.7511472560110546
188,17,0.7552601808593387
189,18,0.7495231628417969
190,17,0.7578035875370628
191,18,0.7387014290560847
192,15,0.8030000083586749
193,16,0.7804593079619937
194,17,0.7588005473739222
195,17,0.7913145015114232
196,17,0.7449314865199003
197,17,0.7526760555448986
198,16,0.783142438060359
199,16,0.7823838936655145
200,17,0.800805107543343
201,17,0.7660700597546317
202,17,0.7526419758796692
203,16,0.7767840561113859
204,17,0.8138395767462882
205,18,0.7828844130039215
206,17,0.7964297438922682
207,19,0.7369442737620809
208,19,0.737027184529738
209,18,0.7556008533997969
210,17,0.7659322588067305
211,18,0.754600811572302
212,17,0.7703256983506052
213,18,0.7544936318146555
214,18,0.7472056338661596
215,18,0.7569666034296939
216,15,0.7870325866867515
217,17,0.7111388225304452
218,16,0.7815432747205099
219,18,0.7419687038973758
220,17,0.7423474930581593
221,15,0.8025888204574585
222,15,0.7284915478605973
223,15,0.7940352629212772
224,16,0.754336136228898
225,16,0.8052506727330825
226,16,0.7430500450887179
227,15,0.7815343702540678
228,16,0.7227213746971555
229,16,0.7703428367773691
230,15,0.7981432921746198
231,15,0.7364276472259971
232,15,0.7781652036835166
233,14,0.7249307807754067
234,14,0.7866531054178874
235,14,0.7167423332438749
236,14,0.7944474220275879
237,14,0.7870382741093636
238,16,0.7637874939862419
239,15,0.7701391717966866
240,16,0.7272925343778398
241,14,0.7506000154158649
242,13,0.7591199465095997
243,14,0.757578639423146
244,15,0.730390373398276
245,15,0.7801004437839284
246,14,0.7581204736933989
247,14,0.8116057276725769
248,15,0.7649026548161226
249,13,0.7690292298793793
250,15,0.7540249675512314
251,14,0.7672528194056617
252,15,0.7824717132668746
253,16,0.7284935741197496
254,15,0.7487471384160659
255,15,0.7225624077460345
256,14,0.7146651521325111
257,14,0.7199472337961197
258,14,0.7138872021122983
259,15,0.7219439715147018
260,15,0.6943145876839047
261,14,0.7415750652551651
262,14,0.7716712839901447
263,13,0.7769993799073356
264,14,0.73609908670187
265,13,0.7305912137031555
266,13,0.7115760110318661
267,13,0.7195088975131512
268,13,0.7415519766509533
269,14,0.73574473336339
270,16,0.7294629050625695
271,15,0.7251499460803138
272,15,0.7208028535048167
273,14,0.7123581965764364
274,14,0.7319566186736611
275,16,0.7099513543976678
276,17,0.7087088415497228
277,15,0.7289388246006436
278,15,0.7036029762691922
279,16,0.7202524122069863
280,16,0.6952602744102478
281,16,0.6934151119656033
282,17,0.6845505952835083
283,16,0.7175787301624522
284,16,0.7286776602268219
285,16,0.7222993549178628
286,16,0.7145674018298879
287,16,0.7065527240435282
288,16,0.71357619448712
289,17,0.7184472209528873
290,15,0.7408600344377405
291,14,0.7190941887743333
292,14,0.7147392556071281
293,14,0.7184124946594238
294,15,0.7259457819163799
295,16,0.6974799798594581
296,15,0.7207643039086286
297,15,0.7354177832603455
298,14,0.7118040164311726
299,14,0.733803072146007
300,15,0.7244209609925747
301,15,0.7279012719790141
302,15,0.7276570983231068
303,15,0.7017702986212337
304,13,0.7307774901390076
305,15,0.7253005243837833
306,13,0.7400567148412976
307,15,0.7071409597992897
308,14,0.722352131207784
309,14,0.7382861495018005
310,15,0.7233571410179138
311,14,0.7212154150009156
312,16,0.728775043040514
313,15,0.7230347871780396
314,14,0.7208725651105244
315,14,0.7140466357980456
316,13,0.7096192198140281
317,16,0.7140204064986285
318,16,0.7163652777671814
319,12,0.7431490421295166
320,16,0.6999326981604099
321,13,0.7348754831722805
322,12,0.7521068591337937
323,16,0.7177537539426018
324,17,0.7167055889179832
325,17,0.7071913987398147
326,17,0.7202729708270023
327,16,0.7113344603114657
328,14,0.7362068854272366
329,15,0.7150693126022816
330,15,0.6993802049580742
331,15,0.7207396291196346
332,16,0.7156607017797583
333,16,0.7189981229603291
334,15,0.748644212881724
335,16,0.6991039339233848
336,15,0.7135464437305927
337,15,0.7215532772243023
338,14,0.7419704624584743
339,14,0.7278666655222575
340,16,0.7104305550456047
341,12,0.75888791680336
342,12,0.7497898936271667
343,10,0.773949784040451
344,12,0.7417867283026377
345,13,0.7289619079002967
346,13,0.7240933775901794
347,12,0.7514871209859848
348,13,0.7486357230406541
349,14,0.7502664923667908
350,15,0.7583241740862529
351,15,0.7496505081653595
352,16,0.7391116408740773
353,15,0.7718543926874797
354,16,0.7694643560577842
355,16,0.7474477655357785
356,16,0.7504646513197157
357,15,0.7358897825082144
358,14,0.7522947262315189
359,15,0.7514631502768573
360,16,0.7594270145191866
361,15,0.780607558786869
362,15,0.7261699140071869
363,16,0.7355692198402003
364,16,0.7719179391860962
365,17,0.7716864347457886
366,17,0.7959721433488947
367,18,0.7842955708503723
368,17,0.7912783120807848
369,17,0.7789714276790619
370,17,0.8026709023274874
371,16,0.7993516027927399
372,16,0.8061943285995059
373,17,0.7882240132281655
374,17,0.7966633156726235
375,16,0.8026639156871371
376,17,0.7832501499276412
377,16,0.7718309069934645
378,17,0.759003758430481
379,17,0.7867903834895084
380,17,0.7749490708112716
381,16,0.7725244540917245
382,17,0.7655445677893502
383,16,0.7733428980174818
384,18,0.7704548348080028
385,16,0.7758000552654266
386,16,0.7777258932590485
387,17,0.7683037860052926
388,17,0.7438997653397647
389,15,0.7668140083551407
390,15,0.7827424469747042
391,16,0.7595594972372055
392,16,0.778788822889328
393,15,0.7611881494522095
394,15,0.7662561982870102
395,16,0.7482178681775143
396,16,0.7629707957568922
397,15,0.7617712271840948
398,17,0.7460164671594446
399,15,0.7387092620134353
400,14,0.7573987212446001
401,14,0.7702334672212601
402,16,0.7332022644224621
403,16,0.7660265498691134
404,14,0.791334436999427
405,17,0.7690797881646589
406,16,0.7985471248626709
407,17,0.7525916397571564
408,18,0.750083537328811
409,18,0.74998881987163
410,17,0.7822054425875345
411,17,0.7624427296898582
412,16,0.7815347284078598
413,17,0.7618160572918978
414,17,0.7676047032529657
415,16,0.7829719384511312
416,17,0.7614240727641366
417,15,0.7954701483249664
418,15,0.7946967452764511
419,16,0.805382810140911
420,17,0.7642106142911044
421,15,0.7926212280988694
422,15,0.7979977905750275
423,16,0.7937803775072098
424,16,0.7747418403625488
425,16,0.7834496259689331
426,16,0.7791153013706207
427,17,0.7838383260227385
428,16,0.7861310094594955
429,16,0.7800486147403717
430,16,0.7711439818143845
431,14,0.7892433537377251
432,14,0.7875177264213562
433,15,0.7701844447537473
434,15,0.762163656949997
435,15,0.7756829983309695
436,15,0.7638792521075198
437,16,0.7593645781278611
438,16,0.746770305292947
439,14,0.7852964368131425
440,14,0.7825744681888156
441,14,0.7912939025296105
442,15,0.7740494106945238
443,15,0.7527444571256637
444,15,0.7592820431056776
445,15,0.7626102190268668
446,14,0.7859906885359023
447,14,0.7777908742427826
448,14,0.7944062702796039
449,15,0.7715853107602972
450,14,0.7923181884818606
451,14,0.7544311225414276
452,16,0.7193288281559944
453,16,0.7203073650598526
454,16,0.7444204877723347
455,16,0.7257437576418337
456,15,0.7484171718358994
457,14,0.7548394924715945
458,15,0.753187745809555
459,14,0.7680819316914207
460,16,0.7444977334567479
461,15,0.7610937505960464
462,16,0.7532476697649274
463,15,0.7648559868335724
464,14,0.7789490003334848
465,14,0.7871164459931222
466,16,0.7770107239484787
467,15,0.8099887437290616
