Frame,Total Faces,Average Confidence,Processing Time (ms)
0,2,0.6064132,176.483154296875
1,5,0.6929431,212.9669189453125
2,10,0.6381821,208.85109901428223
3,11,0.6662395,205.0631046295166
4,7,0.64926165,202.48985290527344
5,2,0.61005855,211.23719215393066
6,11,0.6691778,203.5977840423584
7,14,0.670904,203.8261890411377
8,6,0.61842436,202.437162399292
9,13,0.6592363,198.7900733947754
10,13,0.6722406,199.57804679870605
11,13,0.6358083,202.15201377868652
12,13,0.68616307,200.00314712524414
13,13,0.6703787,200.37603378295898
14,10,0.6514245,199.85103607177734
15,10,0.67958266,231.51874542236328
16,13,0.64445996,197.05986976623535
17,11,0.65804327,198.26412200927734
18,12,0.66578525,198.26889038085938
19,10,0.6931138,200.7148265838623
20,11,0.69920343,198.3799934387207
21,10,0.69408965,196.86174392700195
22,12,0.68109894,199.44024085998535
23,11,0.6904917,211.7919921875
24,12,0.6769881,222.64695167541504
25,14,0.68110925,309.8618984222412
26,14,0.69243133,270.946741104126
27,12,0.68931884,231.95910453796387
28,13,0.6706523,196.90489768981934
29,14,0.6761784,194.5197582244873
30,14,0.65629226,199.68914985656738
31,13,0.6728042,196.42305374145508
32,14,0.6650917,208.2509994506836
33,10,0.6905348,202.86893844604492
34,14,0.66432875,198.5468864440918
35,14,0.67419094,196.79522514343262
36,9,0.72229034,199.89418983459473
37,13,0.6930193,199.721097946167
38,14,0.66276056,199.9959945678711
39,14,0.67092717,196.26402854919434
40,16,0.6585113,197.36909866333008
41,13,0.69395244,196.62714004516602
42,15,0.669214,202.27503776550293
43,14,0.68528837,197.2341537475586
44,14,0.67959625,197.56531715393066
45,11,0.7074643,199.09977912902832
46,15,0.66282237,197.1719264984131
47,12,0.70497346,196.02084159851074
48,14,0.6642698,196.07305526733398
49,14,0.67801505,197.73483276367188
50,12,0.7169213,196.74301147460938
51,13,0.6967872,197.04794883728027
52,16,0.64077103,196.49195671081543
53,12,0.7098167,195.90997695922852
54,15,0.66510177,200.3791332244873
55,13,0.6921956,198.74286651611328
56,13,0.69862646,197.03316688537598
57,15,0.66793555,197.13687896728516
58,17,0.6493287,200.32119750976562
59,14,0.67409134,199.7981071472168
60,13,0.6797446,196.41399383544922
61,14,0.6541552,197.13807106018066
62,14,0.6653619,197.79396057128906
63,16,0.686455,197.04508781433105
64,13,0.7161841,197.56388664245605
65,10,0.68083215,195.55091857910156
66,14,0.6903507,201.51925086975098
67,8,0.6374767,196.0759162902832
68,3,0.61973006,196.06781005859375
69,10,0.6390859,195.91498374938965
70,8,0.69855785,197.0839500427246
71,9,0.6633177,196.48003578186035
72,10,0.67877805,198.10199737548828
73,11,0.6228016,208.97889137268066
74,8,0.6288892,199.44095611572266
75,13,0.63069445,199.02396202087402
76,15,0.7088497,196.61521911621094
77,10,0.6552075,196.02394104003906
78,15,0.68122834,200.01816749572754
79,14,0.6700143,196.43092155456543
80,11,0.6093896,195.74999809265137
81,13,0.66161704,196.50816917419434
82,15,0.6684134,198.9290714263916
83,12,0.64133143,198.9760398864746
84,14,0.62026167,196.75803184509277
85,14,0.6616755,197.13115692138672
86,10,0.6523841,194.9141025543213
87,15,0.6559222,200.40202140808105
88,12,0.6465153,196.51508331298828
89,15,0.6384409,196.18797302246094
90,13,0.65007687,197.70002365112305
91,12,0.6624468,198.54426383972168
92,16,0.6407754,197.188138961792
93,14,0.6673447,197.36790657043457
94,14,0.6625995,197.66879081726074
95,15,0.65446055,198.22382926940918
96,15,0.65656507,197.58200645446777
97,16,0.64834297,197.0360279083252
98,15,0.64779896,197.5259780883789
99,16,0.6378455,199.31507110595703
100,16,0.6414904,197.22700119018555
101,15,0.64685035,197.6628303527832
102,17,0.63615024,197.9379653930664
103,15,0.6513091,196.23684883117676
104,17,0.6576914,196.31314277648926
105,14,0.6747266,257.2822570800781
106,16,0.64941275,289.2580032348633
107,15,0.6684938,210.29090881347656
108,15,0.66144115,196.60520553588867
109,16,0.65521646,198.91929626464844
110,17,0.65449125,197.7841854095459
111,15,0.66463846,205.85989952087402
112,16,0.6708616,238.04593086242676
113,15,0.6767585,203.95803451538086
114,17,0.66347605,202.58212089538574
115,16,0.6716305,197.0670223236084
116,18,0.65356004,197.1750259399414
117,16,0.6738439,197.06392288208008
118,16,0.6672336,197.8459358215332
119,17,0.6616325,197.83973693847656
120,18,0.6535565,197.2370147705078
121,18,0.65533495,200.3488540649414
122,16,0.6800079,198.44603538513184
123,17,0.67193264,206.31694793701172
124,17,0.6580291,199.68795776367188
125,18,0.65455794,196.68889045715332
126,17,0.6634532,197.6318359375
127,16,0.67708653,198.9891529083252
128,17,0.6586332,197.0367431640625
129,17,0.6650392,199.0830898284912
130,16,0.66894794,197.77297973632812
131,16,0.659982,196.60091400146484
132,14,0.6844109,196.52795791625977
133,15,0.671416,198.95386695861816
134,14,0.67980176,197.11828231811523
135,14,0.6781222,196.8998908996582
136,15,0.65386504,196.30694389343262
137,14,0.676153,196.55108451843262
138,16,0.6616661,201.80082321166992
139,13,0.68458295,206.26401901245117
140,15,0.6645162,200.6978988647461
141,17,0.6485696,196.55919075012207
142,14,0.68290406,199.10764694213867
143,15,0.6589681,196.41494750976562
144,14,0.68086755,210.39986610412598
145,14,0.67547554,198.21882247924805
146,17,0.6597255,199.27191734313965
147,16,0.66438466,198.11296463012695
148,16,0.6731086,195.59788703918457
149,16,0.6673336,196.55394554138184
150,15,0.6697117,197.48592376708984
151,14,0.6896447,197.91102409362793
152,17,0.64956915,196.70796394348145
153,17,0.6515328,198.61316680908203
154,15,0.67684484,197.41487503051758
155,16,0.6689727,196.88916206359863
156,16,0.6696379,196.74205780029297
157,15,0.6759796,196.7909336090088
158,16,0.66803,201.44319534301758
