Frame,Total Faces,Average Confidence,Processing Time (ms)
0,4,0.6141329,198.14515113830566
1,2,0.5443929,205.3089141845703
2,7,0.60690886,198.66609573364258
3,3,0.6599483,200.81305503845215
4,3,0.6514083,203.19223403930664
5,9,0.6325559,209.7940444946289
6,8,0.6270539,204.0090560913086
7,6,0.6653033,198.8530158996582
8,8,0.62942773,200.7119655609131
9,8,0.66514045,201.01118087768555
10,8,0.64761174,200.96373558044434
11,9,0.62267566,199.48101043701172
12,9,0.6402167,198.98390769958496
13,9,0.62838846,200.24776458740234
14,9,0.63381153,198.6379623413086
15,10,0.63678896,196.37203216552734
16,10,0.66653675,196.25282287597656
17,10,0.637777,195.65892219543457
18,9,0.6269135,198.9128589630127
19,7,0.5961502,195.7261562347412
20,9,0.6319359,195.9249973297119
21,7,0.6490248,196.08592987060547
22,9,0.6432569,195.6160068511963
23,11,0.65591395,197.77607917785645
24,6,0.6976495,196.2759494781494
25,6,0.61762255,195.71614265441895
26,7,0.66187626,195.80793380737305
27,6,0.61464983,196.01893424987793
28,8,0.6488435,196.87986373901367
29,7,0.62490404,195.7540512084961
30,8,0.6163459,196.00892066955566
31,8,0.6532472,195.38211822509766
32,8,0.6405854,196.72608375549316
33,4,0.65077543,195.49298286437988
34,7,0.6088597,196.4280605316162
35,8,0.66122615,196.12503051757812
36,10,0.59961283,196.42877578735352
37,4,0.70734113,196.8538761138916
38,7,0.6495122,193.96400451660156
39,7,0.6483544,195.89710235595703
40,5,0.6653991,195.6460475921631
41,9,0.64212596,196.79808616638184
42,10,0.61716044,196.3639259338379
43,7,0.6557168,195.4348087310791
44,11,0.6244614,197.68786430358887
45,8,0.6763494,195.71590423583984
46,9,0.66917676,195.86491584777832
47,10,0.6433562,196.42114639282227
48,11,0.6432166,196.82788848876953
49,11,0.62756824,196.2120532989502
50,11,0.6475497,196.30885124206543
51,11,0.64138275,195.26076316833496
52,12,0.6191296,197.9820728302002
53,10,0.6238613,196.08616828918457
54,10,0.65140814,196.65288925170898
55,10,0.62207806,196.10881805419922
56,10,0.6416825,197.69668579101562
57,8,0.64690065,193.8607692718506
58,10,0.65134525,196.77996635437012
59,3,0.5573152,196.39205932617188
60,0,0.0,195.42288780212402
61,1,0.6984195,195.41478157043457
62,9,0.6284921,195.27029991149902
63,4,0.61015284,195.5089569091797
64,3,0.6285034,198.17018508911133
65,6,0.58746725,194.9319839477539
66,7,0.65935093,196.1531639099121
67,6,0.6132677,194.26417350769043
68,7,0.61179507,197.22890853881836
69,7,0.6310484,195.9221363067627
70,10,0.64001465,196.25496864318848
71,8,0.6590373,193.38274002075195
72,8,0.64495206,196.42996788024902
73,8,0.6508511,195.84298133850098
74,9,0.62955976,197.10898399353027
75,9,0.6192512,193.85981559753418
76,7,0.6461795,196.28286361694336
77,8,0.6080582,195.8611011505127
78,9,0.6494057,195.62602043151855
79,12,0.6355414,198.03380966186523
80,10,0.6579434,197.43800163269043
81,12,0.6152156,199.13911819458008
82,11,0.61507094,194.89288330078125
83,9,0.6191681,196.7909336090088
84,10,0.6458351,196.18892669677734
85,10,0.6245595,194.55194473266602
86,10,0.6456316,196.57588005065918
87,11,0.630151,196.09689712524414
88,9,0.6337479,197.1440315246582
89,12,0.6106673,196.75111770629883
90,10,0.62984,195.22809982299805
91,8,0.6541923,195.59669494628906
92,10,0.6445128,196.13122940063477
93,11,0.6224507,198.12726974487305
94,9,0.6223609,194.49281692504883
95,10,0.6373917,196.55227661132812
96,9,0.65599376,194.66686248779297
97,9,0.66479707,196.59686088562012
98,9,0.66850847,196.18582725524902
99,10,0.6397065,194.35906410217285
100,9,0.6601267,196.03586196899414
101,9,0.6800691,196.3951587677002
102,9,0.67817414,196.69389724731445
103,10,0.6612373,193.72081756591797
104,9,0.6740268,196.48218154907227
105,9,0.6816638,195.99008560180664
106,8,0.68687433,195.92618942260742
107,11,0.65898067,195.47796249389648
108,10,0.65062666,196.72179222106934
109,9,0.66954696,196.5010166168213
110,9,0.67460424,196.37012481689453
111,10,0.67001116,273.64087104797363
112,10,0.6733531,252.85887718200684
113,10,0.6450818,238.64293098449707
114,10,0.65361154,194.0929889678955
115,10,0.66918916,197.3590850830078
116,11,0.6591251,196.80404663085938
117,10,0.6639735,208.83893966674805
118,12,0.62731534,237.84923553466797
119,8,0.6727152,204.99682426452637
120,11,0.65269226,204.91385459899902
121,9,0.6762543,196.1228847503662
122,11,0.65070206,198.67897033691406
123,6,0.68729085,196.181058883667
124,5,0.56919354,194.69308853149414
125,6,0.5813147,202.4838924407959
126,2,0.6271853,198.1501579284668
127,6,0.61471266,198.14705848693848
128,7,0.64072114,195.73712348937988
129,8,0.65293205,195.21093368530273
130,9,0.6335595,195.02687454223633
131,5,0.5964392,196.1517333984375
132,8,0.69185823,196.04134559631348
133,4,0.5792249,195.55306434631348
134,10,0.6541575,199.2192268371582
135,6,0.6189575,195.8627700805664
136,8,0.6565453,196.11287117004395
137,9,0.6340207,196.24090194702148
138,8,0.6222339,197.05605506896973
139,5,0.60376436,195.7869529724121
140,10,0.63012326,199.16009902954102
141,9,0.63166505,208.7721824645996
142,11,0.6414688,196.78306579589844
143,3,0.5968943,198.8239288330078
144,11,0.638798,194.73004341125488
145,5,0.6349732,195.97673416137695
146,14,0.6212739,196.49600982666016
147,10,0.6519621,196.1500644683838
148,11,0.6472033,196.56801223754883
149,11,0.65568614,196.13075256347656
150,11,0.6293265,202.38399505615234
151,9,0.6794298,200.6227970123291
152,10,0.6365012,198.99487495422363
153,10,0.6405681,196.1050033569336
154,10,0.6326307,197.29304313659668
155,9,0.6464038,196.5799331665039
156,9,0.6092996,196.22015953063965
157,11,0.62555987,196.55823707580566
158,9,0.6235476,196.31505012512207
159,12,0.6171383,194.84686851501465
160,11,0.6287617,196.05398178100586
161,11,0.6042804,196.83194160461426
162,9,0.6083066,197.02625274658203
163,11,0.629772,195.72710990905762
164,12,0.61153346,198.34494590759277
165,11,0.6293187,196.2120532989502
166,11,0.6344704,197.50595092773438
167,12,0.61684173,194.34499740600586
168,10,0.6377262,196.4700222015381
169,10,0.626495,196.29192352294922
170,11,0.65145725,194.64588165283203
171,13,0.61927485,197.12519645690918
172,11,0.6397641,194.4429874420166
173,12,0.63192993,196.10905647277832
174,11,0.66141105,196.90918922424316
175,12,0.6288799,193.6640739440918
176,13,0.63355786,197.43585586547852
177,11,0.6479043,194.28300857543945
178,10,0.6512147,195.1007843017578
179,10,0.6238723,194.15020942687988
180,8,0.6483817,198.4879970550537
181,9,0.63093406,194.37599182128906
182,8,0.6434244,196.1519718170166
183,8,0.63797915,196.07090950012207
184,10,0.6310272,196.7296600341797
185,10,0.63396025,197.18599319458008
186,11,0.6264153,194.28300857543945
187,9,0.6491718,196.94876670837402
188,11,0.63787836,194.09894943237305
189,8,0.66762,196.10118865966797
190,12,0.64032024,197.34883308410645
191,10,0.6567678,195.5728530883789
192,11,0.6609074,196.40183448791504
193,9,0.67617977,194.05198097229004
194,10,0.6432628,199.82314109802246
195,9,0.6449743,193.85862350463867
196,9,0.65842646,196.15411758422852
197,10,0.64959466,193.78900527954102
198,10,0.6570017,196.31600379943848
199,10,0.655865,196.00892066955566
200,12,0.63233167,196.58303260803223
201,10,0.64867085,196.07186317443848
202,9,0.67503047,196.28214836120605
203,8,0.67256176,195.68777084350586
204,10,0.66510713,196.64406776428223
205,10,0.6484639,196.35486602783203
206,10,0.64475596,196.2449550628662
207,11,0.6494534,193.91226768493652
208,11,0.63304085,197.1118450164795
209,11,0.6371739,194.60225105285645
210,11,0.62389034,196.49410247802734
211,9,0.66006047,196.1507797241211
212,8,0.66429186,193.17913055419922
213,10,0.63554317,196.55179977416992
214,10,0.6474179,197.24392890930176
215,10,0.64496917,196.3651180267334
216,10,0.6400684,196.16937637329102
217,9,0.6554806,194.15688514709473
218,9,0.6796219,196.87294960021973
219,10,0.65790224,198.65703582763672
220,10,0.65082777,196.29287719726562
221,10,0.6567856,196.35581970214844
222,9,0.67268574,196.6078281402588
223,10,0.67127717,196.81310653686523
224,8,0.6948181,193.78304481506348
225,8,0.6892717,196.27118110656738
226,9,0.6766122,196.62094116210938
227,9,0.6946411,196.63000106811523
228,9,0.6873488,196.0151195526123
229,8,0.6771679,195.89900970458984
230,8,0.6910506,196.50793075561523
231,8,0.7133707,193.51506233215332
232,9,0.67605853,197.72696495056152
233,9,0.6713199,194.8249340057373
234,9,0.69154733,195.92714309692383
235,9,0.68864816,195.79696655273438
236,9,0.6617957,194.93818283081055
237,9,0.68006307,196.39301300048828
238,9,0.68953407,195.95789909362793
239,10,0.65401167,196.11501693725586
240,10,0.6397928,195.65105438232422
241,10,0.6429428,199.27406311035156
242,11,0.6657085,196.69508934020996
243,9,0.6727551,279.56080436706543
244,11,0.6566183,204.23197746276855
245,10,0.6600513,199.3420124053955
246,12,0.62431896,196.75016403198242
247,12,0.6269224,196.55489921569824
248,11,0.6380891,196.93374633789062
249,11,0.64026004,195.6310272216797
250,12,0.62944883,259.2430114746094
251,10,0.6440463,309.6039295196533
252,10,0.67221105,202.43406295776367
253,11,0.6395633,190.11998176574707
254,11,0.6604366,195.2528953552246
255,12,0.63365954,196.5770721435547
256,10,0.66379833,197.26896286010742
257,12,0.6305166,229.65407371520996
258,11,0.64265734,211.3490104675293
259,12,0.65152615,198.69184494018555
260,11,0.6442694,195.7390308380127
261,11,0.66017836,196.02608680725098
262,11,0.6529019,197.28779792785645
263,12,0.64343363,196.0310935974121
264,11,0.64400727,196.79903984069824
