Frame,Total Faces,Average Accuracy
0,1,0.5258832573890686
1,6,0.6592252424785069
2,1,0.6072357892990112
3,5,0.6657401025295258
4,5,0.736100564400355
5,5,0.6864006042480468
6,5,0.7119956513245901
7,3,0.687058174610138
8,4,0.7234519422054291
9,4,0.7552514791488647
10,6,0.6945319771766663
11,6,0.7295258864760399
12,7,0.6943281054496765
13,5,0.7739288296018328
14,7,0.7395579483773973
15,7,0.7259805467393663
16,6,0.7791321501135826
17,8,0.7296227276325226
18,6,0.7348900362849236
19,7,0.77082559466362
20,6,0.8222979828715324
21,6,0.8090089336037636
22,5,0.846594512462616
23,5,0.7880097457340786
24,6,0.8110717236995697
25,7,0.7815619856119156
26,7,0.8008430269029405
27,7,0.7609299644827843
28,6,0.8170606270432472
29,6,0.7458571394284567
30,7,0.7112299919128418
31,6,0.7255566886493138
32,6,0.7474350248064313
33,5,0.7736492156982422
34,5,0.7345563073952993
35,5,0.7037678559621176
36,5,0.7331707596778869
37,5,0.7383184671401978
38,4,0.7267617881298065
39,6,0.7180398404598236
40,6,0.6704940100510915
41,5,0.6682522058486938
42,4,0.6776170134544373
43,5,0.673722505569458
44,6,0.6895084083080292
45,5,0.7056650996208191
46,5,0.718502402305603
47,5,0.6441522479057312
48,4,0.6806987673044205
49,5,0.6750489354133606
50,5,0.7055297255516052
51,6,0.6376400079045977
52,3,0.6724282056093216
53,4,0.6939199566841125
54,5,0.675376009941101
55,5,0.6740959286689758
56,5,0.6866117119789124
57,5,0.6713929533958435
58,4,0.6583931893110275
59,6,0.6474268138408661
60,4,0.738165944814682
61,5,0.6837292432785034
62,5,0.6702667593955993
63,4,0.7243257611989975
64,5,0.6757127523422242
65,4,0.7311720848083496
66,4,0.6837530881166458
67,4,0.7458979785442352
68,4,0.7437325268983841
69,4,0.733119860291481
70,4,0.6575620651245118
71,3,0.713655968507131
72,5,0.6867507576942444
73,4,0.7577336132526398
74,4,0.7962027937173843
75,4,0.8143865764141083
76,4,0.8377712517976761
77,5,0.770214295387268
78,5,0.7575048446655274
79,5,0.7316173911094666
80,6,0.6585907254900251
81,4,0.7765490263700485
82,6,0.7125133275985718
83,7,0.6975895421845573
84,6,0.7149261633555094
85,5,0.7765945434570313
86,6,0.7106372515360514
87,8,0.6714470717642043
88,7,0.6534311324357986
89,5,0.7354863524436951
90,7,0.6620829701423645
91,7,0.6793198244912284
92,6,0.7082428534825643
93,7,0.6786087240491595
94,5,0.7455178499221802
95,7,0.6769851701600211
96,6,0.7190927565097809
97,5,0.7485761761665344
98,7,0.7114821672439575
99,7,0.7097305229731968
100,5,0.7581799626350403
101,5,0.7327659368515015
102,5,0.7538596749305725
103,6,0.7310616374015808
104,6,0.7576752702395121
105,6,0.743725448846817
106,6,0.7589629789193472
107,6,0.7357751528422037
108,5,0.7515700697898865
109,5,0.745334243774414
110,5,0.6753478050231934
111,5,0.6571258187294007
112,4,0.6845270246267319
113,5,0.6404265880584716
114,5,0.6514430999755859
115,5,0.6667635083198548
116,6,0.6769456962744395
117,5,0.6531784057617187
118,5,0.6955562710762024
119,4,0.7172173261642456
120,5,0.6734318852424621
121,5,0.6548643708229065
122,5,0.6609930992126465
123,4,0.7000125199556351
124,5,0.6661553144454956
125,5,0.679723584651947
126,5,0.6927515864372253
127,4,0.7513359189033508
128,5,0.70029057264328
129,5,0.7098939180374145
130,4,0.7392041832208633
131,3,0.8018692930539449
132,5,0.6881064653396607
133,3,0.7399331331253052
134,3,0.7259860336780548
135,3,0.7038852572441101
136,3,0.7955169081687927
137,3,0.8102635542551676
138,3,0.813034196694692
139,3,0.8135364254315695
140,3,0.8208215236663818
141,3,0.8170892397562662
142,3,0.8215980927149454
143,4,0.735024943947792
144,5,0.704467487335205
145,4,0.7486396729946136
146,4,0.7600555121898651
147,4,0.7606674283742905
148,4,0.774094894528389
149,4,0.7665417492389679
150,3,0.8239795366923014
151,3,0.8269060254096985
152,4,0.7513303607702255
153,4,0.7461599409580231
154,4,0.7495654374361038
155,3,0.8142411708831787
156,3,0.8039161364237467
157,3,0.8151032129923502
158,3,0.8166450262069702
159,3,0.8228011926015218
160,4,0.7383344769477844
161,4,0.775648444890976
162,4,0.7679389119148254
163,5,0.700256884098053
164,4,0.7227406054735184
165,3,0.8087674776713053
166,3,0.7830645044644674
167,4,0.7338202446699142
168,4,0.7453387081623077
169,5,0.7021465539932251
170,5,0.712600827217102
171,4,0.7580385655164719
172,5,0.7011638045310974
173,5,0.7084636569023133
174,5,0.7049113273620605
175,5,0.702451205253601
176,5,0.7026459097862243
177,5,0.6928922653198242
178,5,0.6701229810714722
179,5,0.6691858649253846
180,6,0.6485323707262675
181,5,0.6592880487442017
182,4,0.7002944201231003
183,5,0.6631018638610839
184,5,0.6621404528617859
185,5,0.660709023475647
186,5,0.6636775732040405
187,5,0.658568000793457
188,4,0.6892545819282532
189,4,0.6677980720996857
190,3,0.6776065429051717
191,5,0.6242399930953979
192,5,0.6322639346122741
193,5,0.6447051048278809
194,5,0.6559771060943603
195,5,0.6519239544868469
196,6,0.6058389047781626
197,5,0.6332589149475097
198,4,0.6705302894115448
199,5,0.6574336528778076
200,5,0.6425051808357238
201,5,0.6264306664466858
202,5,0.6258095622062683
203,5,0.6418979883193969
204,4,0.6807165890932083
205,4,0.6874831914901733
206,4,0.7071154564619064
207,4,0.7239720970392227
208,4,0.7386314868927002
209,4,0.7520035356283188
210,4,0.7553823441267014
211,5,0.7142256975173951
212,4,0.7514103949069977
213,4,0.7503213733434677
214,4,0.7555461972951889
215,4,0.763759195804596
216,4,0.7707032859325409
217,4,0.7764882296323776
218,4,0.7849048376083374
219,4,0.7831772416830063
220,5,0.6891674995422363
221,5,0.6984475612640381
222,5,0.6968692183494568
223,5,0.7061568379402161
224,5,0.7028552293777466
225,5,0.7029947638511658
226,5,0.6930651068687439
227,5,0.714732551574707
228,4,0.7524188458919525
229,4,0.7396569103002548
230,4,0.7290805727243423
231,4,0.7204437553882599
232,4,0.7212109863758087
233,4,0.7260452210903168
234,4,0.7369301021099091
235,5,0.687813687324524
236,4,0.7219533175230026
237,5,0.6785420894622802
238,4,0.6997042894363403
239,2,0.9060647189617157
240,2,0.8980781137943268
241,3,0.7750782569249471
242,3,0.7645225922266642
243,3,0.768139123916626
244,3,0.7535318533579508
245,4,0.7026531100273132
246,5,0.6885375022888184
247,5,0.6823732018470764
248,4,0.7241441160440445
249,6,0.6604943772157034
250,5,0.7038933753967285
251,4,0.7547141760587692
252,3,0.8281010786692301
253,3,0.8405957023302714
254,3,0.8477986256281534
255,3,0.8435449997584025
256,4,0.7608704417943954
257,3,0.8463040987650553
258,3,0.847314715385437
259,4,0.8159285485744476
260,6,0.7831868231296539
261,6,0.7796668907006582
262,10,0.6767329573631287
263,9,0.7100085152520074
264,9,0.7608754303720262
265,8,0.7533587680922614
266,7,0.7628592848777771
267,7,0.7807122468948364
