Frame,Total Faces,Average Confidence,Processing Time (ms)
0,13,0.65407604,198.0578899383545
1,15,0.63732564,201.26581192016602
2,14,0.6693536,204.2980194091797
3,6,0.6584156,200.2100944519043
4,14,0.6679109,201.79009437561035
5,13,0.63905275,209.83409881591797
6,13,0.6432984,204.0090560913086
7,16,0.64651227,203.00006866455078
8,17,0.636344,206.03203773498535
9,15,0.6395622,201.50303840637207
10,17,0.64137125,199.01800155639648
11,12,0.6615789,200.63376426696777
12,13,0.6707591,198.2429027557373
13,15,0.65023303,200.19769668579102
14,13,0.6578473,195.8639621734619
15,15,0.6538619,197.00384140014648
16,15,0.6568048,199.5408535003662
17,15,0.6579772,196.38299942016602
18,15,0.66073674,197.4811553955078
19,15,0.6629607,194.71216201782227
20,14,0.6882388,197.15285301208496
21,14,0.68052447,196.36774063110352
22,15,0.66075265,197.19290733337402
23,14,0.6899729,194.33879852294922
24,13,0.7128697,197.03173637390137
25,14,0.6910072,196.55489921569824
26,14,0.6822959,194.61488723754883
27,15,0.6893368,196.8100070953369
28,14,0.6918406,196.84219360351562
29,15,0.6876586,196.47908210754395
30,15,0.6721308,194.3032741546631
31,17,0.66450393,195.91403007507324
32,17,0.6598316,197.52812385559082
33,16,0.6752475,196.32911682128906
34,15,0.68793124,196.77996635437012
35,14,0.6863139,194.34595108032227
36,15,0.68868107,197.17717170715332
37,15,0.66532975,194.47779655456543
38,16,0.65619236,197.20816612243652
39,16,0.66168976,253.88479232788086
40,16,0.6700958,309.4661235809326
41,14,0.69055945,200.73819160461426
42,15,0.6809897,192.14487075805664
43,17,0.6734174,194.22602653503418
44,16,0.68081594,194.73004341125488
45,16,0.6870415,204.48708534240723
46,17,0.6791106,231.81509971618652
47,17,0.6722353,203.5667896270752
48,17,0.67865473,198.0268955230713
49,17,0.677541,199.05710220336914
50,18,0.6752265,197.19195365905762
51,16,0.6779939,196.75898551940918
52,18,0.67802095,197.6490020751953
53,16,0.6775221,194.71096992492676
54,16,0.68065083,197.07083702087402
55,18,0.66504776,197.03412055969238
56,16,0.690309,195.0390338897705
57,18,0.67403454,196.73490524291992
58,17,0.6746135,197.2486972808838
59,17,0.6781579,195.14894485473633
60,16,0.6867522,197.07703590393066
61,16,0.68584824,206.04991912841797
62,17,0.6799451,217.36502647399902
63,19,0.6746012,208.53614807128906
64,15,0.7031038,196.5041160583496
65,16,0.7009181,199.33509826660156
66,19,0.6718332,197.13997840881348
67,18,0.66272205,196.81310653686523
68,18,0.6797788,198.61197471618652
69,18,0.6650056,196.8700885772705
70,17,0.6901287,196.62094116210938
71,15,0.7050158,197.0832347869873
72,17,0.6799863,203.95803451538086
73,18,0.6709844,197.11804389953613
74,17,0.68854296,196.8069076538086
75,17,0.69007254,196.59709930419922
76,19,0.67127043,197.89910316467285
77,16,0.70193803,197.22700119018555
78,15,0.71331525,194.58484649658203
79,17,0.6746309,196.9900131225586
80,16,0.6996087,194.39268112182617
81,17,0.6862867,198.35805892944336
82,17,0.6947042,199.1410255432129
83,16,0.70348155,206.77828788757324
84,15,0.72075003,209.49196815490723
85,16,0.71206754,212.46099472045898
86,15,0.72158295,220.76797485351562
87,17,0.69332427,210.59870719909668
88,17,0.69279164,209.08498764038086
89,17,0.6949442,210.0200653076172
90,17,0.6885208,210.8757495880127
91,14,0.7201996,209.49506759643555
92,16,0.7042816,212.65101432800293
93,15,0.7111206,209.15484428405762
94,16,0.69942236,210.46686172485352
95,16,0.6965444,213.53483200073242
96,16,0.70284575,214.77723121643066
97,17,0.68485844,208.4972858428955
98,15,0.71202105,211.39907836914062
99,16,0.70005924,209.62190628051758
100,17,0.69460136,210.65998077392578
101,16,0.7055199,215.4839038848877
102,15,0.70814675,211.9128704071045
103,17,0.6968155,213.0448818206787
104,16,0.7069033,209.87200736999512
105,15,0.7072508,212.9993438720703
106,15,0.71377915,208.31680297851562
107,15,0.7114616,216.77207946777344
108,15,0.7082082,214.15185928344727
109,15,0.70332974,213.43016624450684
110,15,0.6988051,216.4921760559082
111,15,0.71147877,211.9429111480713
112,15,0.6981527,216.75634384155273
113,15,0.69581574,219.9547290802002
114,15,0.7024632,214.86306190490723
115,15,0.6944233,211.81893348693848
116,15,0.69766897,213.88816833496094
117,15,0.69528764,213.29808235168457
118,16,0.68882376,210.28804779052734
119,15,0.6819366,211.5929126739502
120,15,0.69256026,212.5260829925537
121,15,0.6872539,212.79001235961914
122,16,0.66986084,211.2259864807129
123,16,0.6712806,214.8420810699463
124,16,0.6650543,211.15994453430176
125,15,0.6754795,210.13998985290527
126,15,0.6737241,212.57615089416504
127,15,0.676469,212.63599395751953
128,15,0.6773664,210.70599555969238
129,17,0.65469533,198.90403747558594
130,15,0.67665577,199.27597045898438
131,15,0.66984123,196.51389122009277
132,15,0.67605937,196.75302505493164
133,15,0.6705568,199.3577480316162
134,15,0.6741671,197.1426010131836
135,17,0.6523595,197.1731185913086
136,17,0.6590335,197.23010063171387
137,15,0.6689896,196.4268684387207
138,18,0.645479,196.96688652038574
139,17,0.6524998,195.2970027923584
140,14,0.6823606,196.91181182861328
141,15,0.6677808,196.6567039489746
142,15,0.6709777,194.66185569763184
143,15,0.67317384,196.40016555786133
144,16,0.6796815,197.41010665893555
145,16,0.68101823,196.3818073272705
146,17,0.6704166,197.00098037719727
147,15,0.68970877,194.0441131591797
148,14,0.7077489,197.13068008422852
149,16,0.68540275,196.1970329284668
150,16,0.6798263,194.0762996673584
151,16,0.68480104,196.38895988464355
152,14,0.7067207,196.98596000671387
153,15,0.69321084,197.0531940460205
154,15,0.69889486,196.63596153259277
155,15,0.7017081,210.22677421569824
156,15,0.6903889,195.18017768859863
157,16,0.6812956,196.6238021850586
158,15,0.695171,197.11995124816895
159,16,0.6812472,196.84290885925293
160,13,0.7258651,196.82693481445312
161,16,0.6921933,196.58803939819336
162,16,0.689579,196.97999954223633
163,17,0.6859775,196.75493240356445
164,17,0.6884246,196.58803939819336
165,15,0.71468574,196.39992713928223
166,15,0.71582395,196.5041160583496
167,16,0.7002205,194.97084617614746
168,17,0.68732965,197.6940631866455
169,17,0.69548947,197.10588455200195
170,16,0.693409,195.34897804260254
171,17,0.6875035,194.92387771606445
172,14,0.732768,196.9590187072754
173,17,0.6930095,209.3040943145752
174,18,0.68134904,254.06694412231445
175,17,0.69284576,330.502986907959
176,16,0.708325,259.7849369049072
177,18,0.6833563,197.89481163024902
178,16,0.69532835,198.7919807434082
179,16,0.70465666,203.83501052856445
180,17,0.70422417,235.32438278198242
181,18,0.68869483,214.14589881896973
182,16,0.7109966,201.8129825592041
183,16,0.7142457,201.50113105773926
184,16,0.7166761,208.33277702331543
185,16,0.7251729,206.23016357421875
186,15,0.7286412,208.6660861968994
187,16,0.72692084,201.39503479003906
188,17,0.70927274,201.74384117126465
189,18,0.6989959,200.04582405090332
190,16,0.7253587,196.73919677734375
191,16,0.7223729,196.54417037963867
192,16,0.7276688,196.5627670288086
193,17,0.7103343,197.26109504699707
194,16,0.72488165,196.69103622436523
195,16,0.7267728,196.72703742980957
196,17,0.7072428,198.34399223327637
197,16,0.72158694,196.47693634033203
198,16,0.7123805,196.61998748779297
199,16,0.7130971,196.71297073364258
200,19,0.6797266,197.3550319671631
201,18,0.6822393,194.88000869750977
202,19,0.6789203,206.50005340576172
203,18,0.68976283,197.6611614227295
204,18,0.69030964,199.76210594177246
205,18,0.69317925,197.8611946105957
206,20,0.6835087,196.77281379699707
207,20,0.6712061,197.4167823791504
208,20,0.67705405,198.07100296020508
209,19,0.68329024,196.7618465423584
210,20,0.68801385,197.15285301208496
211,18,0.7048915,194.46516036987305
212,19,0.6860536,197.76487350463867
213,20,0.6828509,196.85697555541992
214,19,0.6852428,196.93684577941895
215,21,0.67233455,197.2670555114746
216,18,0.7008908,201.63202285766602
217,18,0.70634776,197.62587547302246
218,18,0.7087186,194.65327262878418
219,19,0.6813229,215.41213989257812
220,21,0.68677795,206.2971591949463
221,21,0.67877436,206.24899864196777
222,19,0.69375217,203.9780616760254
223,19,0.69488233,201.2960910797119
224,20,0.68794334,203.09185981750488
225,20,0.6803427,204.118013381958
226,22,0.666554,202.26407051086426
227,22,0.6599547,197.00002670288086
228,21,0.6823527,197.59011268615723
229,22,0.671602,197.18074798583984
230,20,0.6830693,197.75986671447754
231,21,0.6822097,196.94209098815918
232,21,0.6833433,197.67093658447266
233,23,0.672168,195.27173042297363
234,22,0.6748571,197.36218452453613
235,20,0.69760954,194.98801231384277
236,20,0.6937543,198.1961727142334
237,20,0.701932,196.69580459594727
238,20,0.697935,194.92697715759277
239,20,0.6976959,197.24392890930176
240,20,0.6968746,195.49798965454102
241,20,0.69338644,199.9528408050537
242,20,0.69566107,197.1421241760254
243,20,0.69717747,194.55695152282715
244,22,0.68054146,197.8600025177002
245,21,0.6857907,194.8258876800537
246,21,0.69543976,197.83520698547363
247,20,0.70935297,195.16897201538086
248,20,0.70960796,197.08800315856934
249,21,0.69321144,195.29199600219727
250,20,0.693786,197.6010799407959
251,20,0.6886099,197.12305068969727
252,19,0.69353324,194.97108459472656
253,19,0.70357865,196.81692123413086
254,19,0.69914585,197.4031925201416
255,18,0.7029943,194.5669651031494
256,19,0.6895163,197.16310501098633
257,20,0.67821133,194.65184211730957
258,20,0.6847856,200.49095153808594
259,20,0.69061506,195.55306434631348
260,19,0.7028146,196.8979835510254
261,20,0.69292015,197.18098640441895
262,20,0.69017965,197.52812385559082
263,20,0.68774784,197.54314422607422
264,20,0.6816735,194.716215133667
265,20,0.685099,195.37806510925293
266,19,0.70243484,197.10421562194824
267,19,0.7041846,196.81906700134277
268,19,0.6951923,197.29995727539062
269,20,0.681362,196.7329978942871
270,20,0.67971516,197.33405113220215
271,21,0.6824693,197.3109245300293
272,19,0.6980896,195.098876953125
273,19,0.7018545,194.5791244506836
274,20,0.69619006,197.1588134765625
275,20,0.69893587,194.99707221984863
276,21,0.69205105,197.2658634185791
277,21,0.68102235,194.87309455871582
278,20,0.69490963,197.15571403503418
279,20,0.6956135,196.96307182312012
280,19,0.70426387,194.82994079589844
281,19,0.6977264,196.98405265808105
282,20,0.69745225,196.93803787231445
283,20,0.70100456,197.65186309814453
284,20,0.69681644,197.0651149749756
285,19,0.69932604,194.78511810302734
286,19,0.701909,197.3719596862793
287,18,0.7088995,197.15094566345215
288,20,0.6925262,194.34595108032227
289,21,0.68720275,197.5841522216797
290,22,0.6717306,198.39000701904297
291,20,0.6639462,197.2522735595703
292,19,0.6855416,196.9931125640869
293,19,0.67829245,194.78082656860352
294,20,0.6785799,197.3400115966797
295,22,0.66933364,197.94607162475586
296,22,0.66821295,195.40786743164062
297,19,0.69059175,196.49600982666016
298,19,0.6857092,196.6540813446045
299,19,0.6953781,194.45300102233887
300,19,0.6912931,196.81501388549805
301,19,0.6954171,194.17595863342285
302,19,0.7031567,198.17495346069336
303,18,0.702866,197.55816459655762
304,18,0.70505327,194.40793991088867
305,18,0.70061046,197.68476486206055
306,18,0.7023451,197.50189781188965
307,19,0.6921333,197.10683822631836
308,19,0.70065004,194.87619400024414
309,18,0.7006942,196.1958408355713
310,18,0.7014671,197.3271369934082
311,18,0.7007296,196.61378860473633
312,18,0.695926,245.65911293029785
313,18,0.700096,289.6158695220947
314,19,0.68491876,216.66526794433594
315,19,0.6751827,197.3440647125244
316,18,0.6993084,194.75102424621582
317,18,0.69264716,195.0538158416748
318,18,0.69714457,196.9618797302246
319,18,0.69092685,234.91215705871582
320,19,0.6919878,209.04135704040527
321,19,0.68167925,197.2341537475586
322,19,0.6831841,197.3259449005127
323,20,0.6808557,197.73197174072266
324,19,0.6918823,197.5560188293457
325,19,0.68859816,195.13511657714844
326,19,0.6908803,197.66688346862793
327,19,0.6891537,197.71766662597656
328,19,0.69161546,194.9760913848877
329,20,0.6850429,195.4357624053955
330,20,0.68005115,197.2959041595459
331,19,0.68506765,194.98109817504883
332,19,0.6947462,199.32317733764648
333,19,0.6970928,194.4570541381836
334,19,0.6886038,197.45206832885742
335,19,0.69291097,199.55825805664062
336,18,0.70392793,196.40588760375977
337,18,0.6982885,196.7489719390869
338,18,0.71254826,197.8909969329834
339,19,0.70303106,196.699857711792
340,19,0.69813967,195.296049118042
341,19,0.6876556,197.07798957824707
342,18,0.6999913,196.89607620239258
343,18,0.69279027,197.1580982208252
344,19,0.69425297,194.3960189819336
345,19,0.68801194,197.04389572143555
346,19,0.6926134,197.68977165222168
347,19,0.69386494,196.821928024292
348,19,0.69419783,197.10803031921387
349,18,0.6925083,194.5631504058838
350,17,0.6997234,197.27706909179688
351,16,0.7076117,196.2907314300537
352,17,0.7035949,194.17905807495117
353,19,0.687938,196.78902626037598
354,18,0.70598024,197.03006744384766
355,18,0.69469786,194.78559494018555
356,18,0.6906533,197.11804389953613
357,17,0.69407564,196.73991203308105
358,19,0.67791116,195.02496719360352
359,19,0.6739009,196.62785530090332
360,17,0.6866071,197.5228786468506
361,18,0.68006444,194.43488121032715
362,18,0.6798162,196.88916206359863
363,18,0.6763433,196.64311408996582
364,18,0.6814215,196.75588607788086
365,18,0.6811543,196.8858242034912
366,19,0.67868817,194.8699951171875
367,19,0.67877674,196.59709930419922
368,19,0.68373185,195.61171531677246
369,19,0.68392646,197.16572761535645
370,21,0.6679093,196.3210105895996
371,20,0.6717505,196.58398628234863
372,20,0.66979635,195.22786140441895
373,21,0.6637202,196.93613052368164
374,20,0.67002064,195.79696655273438
375,20,0.67077696,196.83289527893066
376,21,0.6645436,195.1770782470703
377,20,0.6761448,197.2651481628418
378,20,0.6824463,195.33777236938477
379,19,0.69082785,197.1430778503418
380,19,0.69664943,194.79703903198242
381,20,0.6798318,196.77329063415527
382,20,0.68687195,195.0070858001709
383,21,0.6895526,197.7081298828125
384,21,0.6952354,197.10016250610352
385,22,0.68374217,194.93889808654785
386,22,0.69214463,196.67601585388184
387,22,0.6950493,197.19982147216797
388,22,0.6955424,195.56212425231934
389,22,0.6986168,195.4813003540039
390,22,0.6983095,197.24082946777344
391,22,0.6990834,196.97117805480957
392,22,0.69982874,197.1569061279297
393,22,0.7032997,195.17183303833008
394,22,0.705904,198.09579849243164
395,22,0.69953007,197.18194007873535
396,23,0.6904694,194.72289085388184
397,23,0.68995893,197.3733901977539
398,23,0.68548644,196.14219665527344
399,23,0.6912198,197.87096977233887
400,23,0.69035256,197.5092887878418
401,23,0.6919121,197.42918014526367
402,23,0.6907882,196.87199592590332
403,23,0.68667054,197.43800163269043
404,23,0.6859889,197.0040798187256
405,23,0.6907109,195.1291561126709
406,23,0.69015,195.31512260437012
407,22,0.6907005,202.7740478515625
408,23,0.68634397,197.40605354309082
409,23,0.6883401,197.18503952026367
410,23,0.6809469,195.6021785736084
411,23,0.68112934,197.85594940185547
412,22,0.69540495,197.3440647125244
413,22,0.6990794,195.0070858001709
414,22,0.6884343,195.83678245544434
415,20,0.7062522,196.97999954223633
416,21,0.6983241,195.51706314086914
417,21,0.6952764,196.93398475646973
418,22,0.682626,196.8400478363037
419,22,0.68330896,197.4799633026123
