Frame,Total Faces,Average Accuracy
0,18,0.7322337847006949
1,14,0.699054729938507
2,11,0.6334825699979608
3,13,0.6562319581325238
4,16,0.7187473736703396
5,9,0.6213779449462891
6,18,0.693817885298478
7,17,0.685640952166389
8,12,0.6143056998650233
9,20,0.686322557926178
10,12,0.7091120630502701
11,13,0.6991698145866394
12,17,0.7223247850642485
13,17,0.7219887481016272
14,16,0.6760852932929993
15,18,0.6800864040851593
16,18,0.7365068760183122
17,19,0.7387374012093795
18,19,0.7158231264666507
19,19,0.6616681029922084
20,18,0.6460518209557784
21,20,0.6710652709007263
22,22,0.6921774257313121
23,15,0.7152914643287659
24,12,0.7008569190899531
25,13,0.7058502802482018
26,18,0.6902028686470456
27,17,0.7215933308881872
28,18,0.7487814923127493
29,19,0.6887474627721877
30,18,0.671106176243888
31,18,0.6942994727028741
32,16,0.7076761967995587
33,19,0.6790603047067468
34,22,0.6883729437123174
35,18,0.7713449696699778
36,18,0.759980837504069
37,20,0.6754508343609896
38,15,0.718175999323527
39,17,0.76035515350454
40,18,0.7401681012577481
41,18,0.7517482075426314
42,17,0.7863084568696863
43,19,0.7613356270288166
44,18,0.7724591460492876
45,18,0.6932649254798889
46,21,0.6692437877257665
47,19,0.7576183676719666
48,18,0.728629642062717
49,19,0.7539405979608235
50,18,0.802418029970593
51,20,0.7449873566627503
52,19,0.7868550890370419
53,20,0.7829275012016297
54,19,0.7752803407217327
55,20,0.7554445743560791
56,21,0.7634588536762056
57,18,0.825551473432117
58,22,0.7460863175599471
59,21,0.7450192679058422
60,19,0.8072030042347155
61,21,0.7609198121797471
62,19,0.7365353546644512
63,20,0.7859335988759995
64,20,0.7896060824394227
65,21,0.7905031102044242
66,19,0.8102053341112638
67,20,0.79561907351017
68,22,0.760847731070085
69,20,0.7232179159209842
70,20,0.787222734093666
71,21,0.7679661342075893
72,21,0.7706807653109232
73,19,0.810115983611659
74,19,0.8045511371211002
75,20,0.7806441575288773
76,19,0.7764138704852054
77,21,0.7724185784657797
78,20,0.7990911930799485
79,21,0.7752362972214109
80,19,0.7882759779691696
81,20,0.7946912318468093
82,22,0.7394204871221022
83,20,0.7634710311889649
84,20,0.783031752705574
85,21,0.7676266034444174
86,21,0.7714531478427705
87,21,0.766400260584695
88,22,0.7579700242389332
89,22,0.7466455941850488
90,20,0.7817950516939163
91,20,0.7750279098749161
92,21,0.7689711593446278
93,19,0.8003192700837788
94,20,0.7957666128873825
95,22,0.764403061433272
96,20,0.7996276170015335
97,20,0.7788768325533185
98,21,0.760172826903207
99,21,0.7630249659220377
100,20,0.774957025051117
101,19,0.7802906036376953
102,18,0.7910247445106506
103,19,0.7855778515338898
104,18,0.7903012335300446
105,22,0.751315536706344
106,19,0.8057596862316132
107,21,0.7990773660796029
108,20,0.8094788789749146
109,20,0.8014574221202305
110,20,0.7965499418122428
111,20,0.7750029535520644
112,21,0.7747996178540316
113,18,0.7967787039907355
114,18,0.7906479051238612
115,19,0.7740487277507782
116,18,0.8149716489844852
117,17,0.818546779015485
118,18,0.805305517382092
119,18,0.8041419386863708
120,18,0.7943536701955294
121,18,0.7844385536093461
122,19,0.7692134112119675
123,19,0.7766340345144271
124,19,0.7669028043746948
125,21,0.733761841836183
126,21,0.7430653131526449
127,21,0.7462738622789797
128,19,0.7751482993364334
129,21,0.7526389739730142
130,21,0.7612646411765706
131,22,0.7507676978905996
132,23,0.754988764723142
133,24,0.7569520616531372
134,24,0.7441510305954859
135,20,0.8129176557064056
136,20,0.8142056375741958
137,22,0.7669930458068848
138,22,0.7690659631853518
139,22,0.7657967546711797
140,24,0.757958414653937
141,24,0.7658641760547956
142,23,0.756373405456543
143,22,0.7979489835825834
144,22,0.7945167503573678
145,24,0.7563319479425749
146,24,0.7702858597040176
147,25,0.7590989542007446
148,23,0.7693701560298601
149,23,0.7739069114128748
150,22,0.8013710542158647
151,22,0.7910272641615435
152,22,0.7763381139798597
153,21,0.7668652534484863
154,23,0.7756269289099652
155,23,0.7667855102082958
156,22,0.7845513576811011
157,23,0.7681398469468822
158,22,0.7827487181533467
159,22,0.7791913124648008
160,21,0.7750174890864979
161,22,0.7849646183577451
162,21,0.8033045445169721
163,23,0.7836353752924048
164,24,0.7778115818897883
165,22,0.7697552934936855
166,22,0.756830299894015
167,23,0.7642379974325498
168,22,0.796625858003443
169,21,0.8155077724229722
170,23,0.7925712440324866
171,22,0.804019031199542
172,22,0.7818585311373075
173,23,0.7673492789268493
174,22,0.7646391987800598
175,22,0.7809598134911578
176,22,0.7806259834248087
177,21,0.743836965560913
178,21,0.7507887864112854
179,21,0.7345754051208496
180,18,0.778061812832242
181,18,0.786942856652396
182,18,0.7892541743460155
183,18,0.7920623875799633
184,20,0.7539281323552132
185,19,0.7633402166159257
186,21,0.745574083328247
187,20,0.7611813967426618
188,21,0.7570939159393311
189,19,0.7951800443909385
190,19,0.780461759670921
191,19,0.7905344556678425
192,19,0.7859721698544242
193,19,0.7857876203276895
194,20,0.7701746349533399
195,20,0.7887003862339518
196,20,0.7910052848898846
197,19,0.7926185889677568
198,19,0.7678077071905136
199,19,0.7795571140621019
200,20,0.7755347205244977
201,19,0.7697717184605806
202,19,0.7906396063891324
203,19,0.7850020798769864
204,19,0.7716767554697783
205,20,0.7511338566740354
206,20,0.7420248662432035
207,19,0.7408862511316935
208,19,0.7470527589321136
209,19,0.7614309381354939
210,19,0.7639862922104922
211,19,0.7564553385195525
212,19,0.7575337316678918
213,19,0.7590121247551658
214,18,0.7778466769627163
215,19,0.7580687222273453
216,20,0.7623832433120065
217,21,0.7438999342918396
218,20,0.7657366345326105
219,19,0.8017069186483111
220,20,0.7840515754439614
221,19,0.7930613954861959
222,18,0.8000235319137573
223,18,0.7954057186841965
224,20,0.7693864947015588
225,19,0.7850222701118106
226,19,0.7790804391815549
227,19,0.7725902625492641
228,18,0.7887188017368316
229,19,0.7552247291261499
230,19,0.7665371128490993
231,20,0.7594249475569952
232,18,0.760396882891655
233,18,0.7549538731575012
234,18,0.7506839462688991
235,19,0.7432798201387579
236,20,0.7415799390185963
237,19,0.752130511261168
238,19,0.7424601777033373
239,20,0.7307439601939657
240,20,0.7281473926875902
241,18,0.7494401846613202
242,19,0.741368518634276
243,21,0.7300707179567089
244,21,0.7310083819472272
245,19,0.7643713384866715
246,21,0.7301143330076466
247,20,0.7352640764279799
248,20,0.7223519294158273
249,20,0.7309038639068604
250,22,0.7190247392654419
251,22,0.7312895703315735
252,22,0.7410917029930995
